URL;LatinName;SlovenianName;FullName;Uzitnost
https://www.gobe.si/Gobe/PholiotaAurivella;Pholiota aurivella;žolti luskinar;Pholióta aurivélla (Batsch) Fr. (1871);neužitna
https://www.gobe.si/Gobe/PholiotaAdiposa;Pholiota adiposa;sluzasti luskinar;Pholióta adipósa (Batsch) P. Kumm. (1871);neužitna
https://www.gobe.si/Gobe/InfundibulicybeSplendoides;Infundibulicybe splendoides;rumeneča lijevka;Infundibulícybe splendoídes (H.E. Bigelow) Vesterh. (2008);neužitna
https://www.gobe.si/Gobe/GanodermaTsugae;Ganoderma tsugae;japonska pološčenka;Ganoderma tsugae Murrill (1902);neužitna
https://www.gobe.si/Gobe/MelanogasterVariegatus;Melanogaster variegatus;pisani kamrovec;Melanogáster variegátus (Vittad.) Tul. & C. Tul. (1851);mlada užitna
https://www.gobe.si/Gobe/HeterobasidionAbietinum;Heterobasidion abietinum;jelov trohnobnež;Heterobasídion abietínum Niemelä & Korhonen (1998);neužitna
https://www.gobe.si/Gobe/EchinodermaPerplexum;Echinoderma perplexum;ostroluska trnovka;Echinodérma perpléxum (Knudsen) Bon (1991);neužitna
https://www.gobe.si/Gobe/PhlegmaciumOlidum;Phlegmacium olidum;travnodišeča sluzarka;Phlegmácium ólidum (J.E. Lange) Niskanen & Liimat. (2022);neužitna
https://www.gobe.si/Gobe/BotryobasidiumVagum;Botryobasidium vagum;smrekova raševinovka;Botryobasídium vágum (Berk. & M.A. Curtis) D.P. Rogers (1935);neužitna
https://www.gobe.si/Gobe/XenasmatellaVaga;Xenasmatella vaga;rumenkasti raševinec;Xenasmatélla vága (Fr.) Stalpers (1996);neužitna
https://www.gobe.si/Gobe/InocybeLangei;Inocybe langei;kratkobetna razcepljenka;Inócybe lángei R. Heim (1931);neužitna
https://www.gobe.si/Gobe/PostiaBalsamea;Postia balsamea;dišeči skutovec;Póstia balsámea (Peck) Jülich (1982);neužitna
https://www.gobe.si/Gobe/BovistaPaludosa;Bovista paludosa;močvirski kadilček;Bovísta paludósa Lév. (1846);neužitna
https://www.gobe.si/Gobe/CortinariusHysginus;Cortinarius hysginus;srnja koprenka;Cortinárius hýsginus (M.M. Moser) M.M. Moser (1967);neužitna
https://www.gobe.si/Gobe/HypholomaRadicosum;Hypholoma radicosum;korenasta žveplenjača;Hypholóma radicósum J.E. Lange (1923);neužitna
https://www.gobe.si/Gobe/RussulaConsobrina;Russula consobrina;skandinavska golobica;Rússula consobrína (Fr.) Fr. (1838);neužitna
https://www.gobe.si/Gobe/CeriporiaRhodella;Ceriporia rhodella;pordeli jamičar;Ceripória rhodélla (Fr.) Donk (1933);neužitna
