 1.     ABORTÍPORUS                                                        POLLUKNJIČARJI
45.   CHOIRÓMYCES                                                 PRSTENICE
  175. Choirómyces venósus (Fr.) Th. Fr. (1909)                           zgodnja prstenica                               PU

46.   CHONDROSTÉREUM                                              SKLADOVCI
  176. Chondrostéreum purpúreum (Pers.) Pouzar (1959)                     škrlatni skladovec                              NU

47.   CHROOGÓMPHUS                                                POLžARJI
  177. Chroogómphus helvéticus (Singer) M.M. Moser (1967)                 švicarski polžar                                 U
  178. Chroogómphus rútilus (Schaeff.) O.K. Mill. (1964)                  bakrenasti polžar                                U

48.   CHRYSOMPHÁLINA                                              ZLATOLISTKE
  179. Chrysomphálina chrysophýlla (Fr.) Clémençon (1982)                 jelova zlatolistka                     NU, 1006

49.   CLÁTHRUS                                                    MREžNICE
  180. Cláthrus árcheri (Berk.) Dring (1980)                              lovkasta mrežnica                             NU
  181. Cláthrus rúber P. Micheli ex Pers. (1801)                          navadna mrežnica                       NU, Z, RS

50.   CLAVÁRIA                                                    KIJEVKE
  182. Clavária acúta Sowerby (1803)                                      zašiljena kijevka                               NU
  183. Clavária frágilis Holmsk. (1790)                                   krhka kijevka                               NU, 319
  184. Clavária fumósa Pers. (1796)                                       dimasta kijevka                                 NU

51.   CLAVARIADÉLPHUS                                             KIJCI
  185. Clavariadélphus lígula (Schaeff.) Donk (1933)                      jezikasti kijec                                NU
  186. Clavariadélphus pistilláris (L.) Donk (1933)                       veliki kijec                                  MU2
  187. Clavariadélphus truncátus Donk (1933)                              odsekani kijec                                 MU




Mikološka zveza Slovenije                   OPERATIVNI SEZNAM GLIV SLOVENIJE 2013                                         13
52.   CLAVULÍNA                                                  GRIVAČE
  188. Clavulína amethýstina (Bull.) Donk (1933)                          modrikasta grivača                 U
  189. Clavulína cinérea (Bull.) J. Schröt. (1889)                        siva grivača                       U
  190. Clavulína coralloídes (L.) J. Schröt. (1888)                       grebenasta grivača                 U
  191. Clavulína rugósa (Bull.) J. Schröt. (1888)                         brazdasta grivača                  U

53.   CLAVULINÓPSIS                                              GRIVUŠE
  192. Clavulinópsis corniculáta (Schaeff.) Corner (1950)                 rogovilasta grivuša               NU

54.   CLIMACOCÝSTIS                                              POROZNICE
  193. Climacocýstis boreális (Fr.) Kotl. & Pouzar (1958)                 severnjaška poroznica             NU

55.   CLITÓCYBE                                                  LIVKE
  194. Clitócybe alexándri (Gillet) Gillet (1884)                         zelenikasta livka              U, RS
  195. Clitócybe angustíssima (Lasch) P. Kumm. (1871)                     vlažnoroba livka                    S
  196. Clitócybe augeána (Mont.) Sacc. (1887)                             vrtnarska livka               SS, 346
  197. Clitócybe brumális (Fr.) Quél. (1872)                              zimska livka                        S
  198. Clitócybe cácabus (Fr.) Sacc. (1887)                               kakavnorjava livka                NU
  199. Clitócybe cándicans (Pers.) P. Kumm. (1871)                        opredena livka                     SS
  200. Clitócybe cándida Bres. (1881)                                     bela livka                     U, 334
  201. Clitócybe catínus (Fr.) Quél. (1872)                               skledasta livka                     U
  202. Clitócybe costáta Kühner & Romagn. (1954)                          rebrava livka                       U
  203. Clitócybe dealbáta (Sowerby) P. Kumm. (1871)                       pobeljena livka                    SS
  204. Clitócybe dítopa (Fr.) Gillet (1874)                               iglična livka                     NU
  205. Clitócybe frágrans (With.) P. Kumm. (1871)                         vonjava livka                       S
  206. Clitócybe gíbba (Pers.) P. Kumm. (1871)                            rjavkasta livka                     U
  207. Clitócybe harmájae Lamoure (1972)                                  sadna livka                   S, 2702
  208. Clitócybe hydrográmma (Bull.) P. Kumm. (1871)                      vodenasta livka                S, 369
  209. Clitócybe incílis (Fr.) Gillet (1874)                              narezljana livka                    U
  210. Clitócybe inornáta (Sowerby) Gillet (1874)                         neokrašena livka                    U
  211. Clitócybe máxima (P. Gaertn., G. Mey. & Scherb.) P. Kumm. (1871)   velika livka                        U
  212. Clitócybe metáchroa (Fr.) P. Kumm. (1871)                          siveča livka                      NU
  213. Clitócybe nebuláris (Batsch) P. Kumm. (1871)                       poprhnjena livka                   PU
  214. Clitócybe obsoléta (Batsch) Quél. (1872)                           dišeča livka                        S
  215. Clitócybe odóra (Bull.) P. Kumm. (1871)                            janeževa livka                      U
  216. Clitócybe phyllóphila (Pers.) P. Kumm. (1871)                      beleževa livka                     SS
  217. Clitócybe squamulósa (Pers.) P. Kumm. (1871)                       luskata livka                       U
