 1.     ABORTÍPORUS                                                        POLLUKNJIČARJI
  1187. Pseudomerúlius áureus (Fr.) Jülich (1979)                        zlati pazgubanec                  NU

225.   PTÉRULA                                                       ŠČETINJAČE
  1188. Ptérula multífida (Chevall.) Fr. (1830)                          razvejana ščetinjača              NU

226.   PULCHERRÍCIUM                                                 KRASOTCI
  1189. Pulcherrícium caerúleum (Lam.) Parmasto (1968)                   modri krasotec                    NU

227.   PYCNOPORÉLLUS                                                 GOSTOLUKNJIČARJI
  1190. Pycnoporéllus fúlgens (Fr.) Donk (1971)                          bliskov gostoluknjičar        NU, RS

228.   PYCNÓPORUS                                                    DROBNOLUKNJIČARJI
  1191. Pycnóporus cinnabárinus (Jacq.) P. Karst. (1881)                 cinobrasti drobnoluknjičar        NU

229.   RADULÓMYCES                                                   STRGAČI
  1192. Radulómyces moláris (Chaillet ex Fr.) M.P. Christ. (1960)        hrastov strgač                NU, 292

230.   RAMÁRIA                                                       GRIVE
  1193. Ramária abietína (Pers.) Quél. (1888)                            jelkina griva                     NU
  1194. Ramária áurea (Schaeff.) Quél. (1888)                            zlata griva                        U
  1195. Ramária batáillei (Maire) Corner (1950)                          bataillejeva griva                PU
  1196. Ramária botrýtis (Pers.) Ricken (1918)                           rdeča griva                        U
  1197. Ramária eumórpha (P. Karst.) Corner (1950)                       bledookrasta griva                NU
  1198. Ramária fagetórum Maas Geest. ex Schild (1978)                   bukova griva                       U
  1199. Ramária fénnica (P. Karst.) Ricken (1920)                        finska griva                       U
  1200. Ramária fláccida (Fr.) Bourdot (1898)                            veneča griva                      NU
  1201. Ramária fláva (Schaeff.) Quél. (1888)                            rumena griva                       U
  1202. Ramária flavéscens (Schaeff.) R.H. Petersen (1974)               grmovnata griva                    U
  1203. Ramária flávigelatinósa Marr & D.E. Stuntz (1974)                prožna griva                       U
  1204. Ramária flavoídes Schild (1981)                                  redkvičasta griva                 UN
  1205. Ramária formósa (Pers.) Quél. (1888)                             lepa griva                         S
  1206. Ramária grácilis (Pers.) Quél. (1888)                            janeževa griva                    NU
  1207. Ramária ignícolor Corner (1950)                                  ognjena griva                      S
  1208. Ramária largéntii Marr & D.E. Stuntz (1974)                      largentova griva                   U
  1209. Ramária lútea Schild (1977)                                      rumenkasta griva                   U
  1210. Ramária neoformósa R.H. Petersen (1976)                          čedna griva                        S
  1211. Ramária obtusíssima (Peck) Corner (1950)                         smrekova griva                     U



Mikološka zveza Slovenije                    OPERATIVNI SEZNAM GLIV SLOVENIJE 2013                         36
  1212. Ramária pállida (Schaeff.) Ricken (1920)                             bleda griva                                      S
  1213. Ramária rubélla (Schaeff.) R.H. Petersen (1974)                      panjeva griva                                   NU
  1214. Ramária ruféscens (Schaeff.) Corner (1950)                           rdečkasta griva                                  U
  1215. Ramária sanguínea (Pers.) Quél. (1888)                               krvobetna griva                                  U
  1216. Ramária strícta (Pers.) Quél. (1888)                                 čopičasta griva                                 NU
  1217. Ramária subbotrýtis (Coker) Corner (1950)                            prelestna griva                                 NU
  1218. Ramária testáceofláva (Bres.) Corner (1950)                          rjaveča griva                                   NU
  1219. Ramária tridentína Schild (1981)                                     tridentinska griva                              NU

231.   RHIZÍNA                                                        KORENČARJI
  1220. Rhizína unduláta Fr. (1815)                                          hrčkasti korenčar                                 U

232.   RHIZÓPOGON                                                     KORENINKE
  1221. Rhizópogon obtéxtus (Spreng.) R. Rauschert (1984)                    opletena koreninka                              NU
  1222. Rhizópogon roséolus (Corda) Th. Fr. (1909)                           rožnata koreninka                               NU

233.   RHODOCOLLÝBIA                                                  KORENARKE
  1223. Rhodocollýbia butyrácea (Bull.) Lennox (1979)                           žaltava korenarka                         PU, 391
  1224. Rhodocollýbia butyrácea f. aséma (Bull.) Antonín, Halling & Noordel. (1997) žaltava korenarka, roženosiva oblika PU, 392
  1225. Rhodocollýbia fódiens (Kalchbr.) Antonín & Noordel. (1997)              žlebasta korenarka                         U, 399
  1226. Rhodocollýbia maculáta (Alb. & Schwein.) Singer (1939)                  pegasta korenarka                          S, 408
  1227. Rhodocollýbia prolíxa (Hornem.) Antonín & Noordel (1997)                spotegnjena korenarka                     NU, 413
  1228. Rhodocollýbia prolíxa var. distórta (Fr.) Antonín, Halling & Noordel. (1997) spotegnjena korenarka, zasukani razl. U, 396

234.   RHODÓCYBE                                                      RUSOGLAVKE
  1229. Rhodócybe gémina (Paulet) Kuyper & Noordel. (1987)                   zvegana rusoglavka                               U
  1230. Rhodócybe popinális (Fr.) Singer (1951)                              pokapana rusoglavka                             NU

235.   RICKENÉLLA                                                     MAHOžIVKE
  1231. Rickenélla fíbula (Bull.) Raithelh. (1973)                           oranžnorumena mahoživka                         NU
  1232. Rickenélla swártzii (Fr.) Kuyper (1984)                              dvobarvna mahoživka                             NU

236.   RUGOSÓMYCES                                                    LEPOGLAVCI
  1233. Rugosómyces cárneus (Bull.) Bon (1991)                               mesnati lepoglavec                                U
  1234. Rugosómyces ionídes (Bull.) Bon (1991)                               modrikasti lepoglavec                             U

237.   RÚSSULA                                                        GOLOBICE
  1235. Rússula acétolens Rauschert (1989)                                   rumenjačna golobica                                U
  1236. Rússula acrifólia Romagn. (1997)                                     ostrolistna golobica                             NU
  1237. Rússula adulterína Secr. (1833)                                      varljiva golobica                                NU
  1238. Rússula adústa (Pers.) Fr. (1838)                                    osmojena golobica                                NU
  1239. Rússula aerugínea Lindbl. ex Fr. (1863)                              zelena golobica                                    U
  1240. Rússula albonígra (Krombh.) Fr. (1874)                               črnjava golobica                                 NU
  1241. Rússula alnetórum Romagn. (1956)                                     jelševa golobica                           NU, 2330
  1242. Rússula alutácea (Fr.) Fr. (1838)                                    ustrojena golobica                                 U
  1243. Rússula amaríssima Romagn. & E.-J. Gilbert (1943)                    grenka golobica                                  NU
  1244. Rússula amethýstina Quél. (1898)                                     vijoličnordeča golobica                            U
  1245. Rússula amóena Quél. (1881)                                          vabljiva golobica                                  U
  1246. Rússula amoenícolor Romagn. (1962)                                   cistidolistna golobica                             U
  1247. Rússula amóenolens Romagn. (1952)                                    vonjava golobica                                 NU
  1248. Rússula anatína Romagn. (1967)                                       sivozelenkasta golobica                      U, 2855
  1249. Rússula anthrácina Romagn. (1962)                                    črnorjava golobica                               NU
  1250. Rússula aquósa Leclair (1932)                                        močvirska golobica                               NU
  1251. Rússula atropurpúrea (Krombh.) Britzelm. (1893)                      škrlatna golobica                          NU, 2292
  1252. Rússula atropurpúrea f. dissídens Zvára (1931)                       škrlatna golobica, olivnozelena oblika     NU, 2294
  1253. Rússula atrórubens Quél. (1898)                                      kokosova golobica                                NU
  1254. Rússula aurantíaca (Schaeff.) Romagn. (1967)                         oranžna golobica                                   U
  1255. Rússula áurea Pers. (1796)                                           zlatolistna golobica                               U
  1256. Rússula auróra Bres. (1892)                                          rožasta golobica                       U, 2238, 2298
  1257. Rússula azúrea Bres. (1881)                                          sinja golobica                                     U



Mikološka zveza Slovenije                    OPERATIVNI SEZNAM GLIV SLOVENIJE 2013                                            37
 1258. Rússula bádia Quél. (1880)                                cedrovna golobica                        S
 1259. Rússula betulárum Hora (1960)                             brezovinska golobica                     S
 1260. Rússula brúnneoviolácea Crawshay (1930)                   rjavovijoličasta golobica                U
 1261. Rússula caerúlea (Pers.) Fr. (1838)                       grbičasta golobica                 U, 2226
 1262. Rússula carpíni R. Girard & Heinem. (1956)                gabrova golobica                         U
 1263. Rússula cávipes Britzelm. (1893)                          votlobetna golobica                    NU
 1264. Rússula chloroídes (Krombh.) Bres. (1900)                 ozkolistna golobica                      U
 1265. Rússula clarofláva Grove (1888)                           brezova golobica                         U
 1266. Rússula crémeoavellánea Singer (1936)                     lešnikasta golobica                      U
 1267. Rússula cúprea (Krombh.) J.E. Lange (1926)                žgoča golobica                         NU
 1268. Rússula cúrtipes F.H. Møller & Jul. Schäff. (1935)        kratkobetna golobica                     U
 1269. Rússula cyanoxántha (Schaeff.) Fr. (1863)                 modrikasta golobica                      U
 1270. Rússula decípiens (Singer) Bon (1985)                     goljufiva golobica                     NU
 1271. Rússula decolórans (Fr.) Fr. (1838)                       siveča golobica                          U
 1272. Rússula délica Fr. (1838)                                 modrolistna golobica                     U
 1273. Rússula densifólia Secr. ex Gillet (1876)                 gostolistna golobica                   NU
 1274. Rússula emética (Schaeff.) Pers. (1796)                   bljuvna golobica                         S
 1275. Rússula exálbicans (Pers.) Melzer & Zvára (1927)          razbarvana golobica         NU, 2265, 2299
 1276. Rússula fagínea Romagn. ex Romagn. (1967)                 bukova golobica                          U
 1277. Rússula farínipes Romell (1893)                           prožna golobica                        NU
 1278. Rússula féllea (Fr.) Fr. (1838)                           žolta golobica                         NU
 1279. Rússula fírmula Jul. Schäff. (1940)                       trdikasta golobica                     NU
 1280. Rússula flavíspora Romagn. (1967)                         žoltotrosna golobica                   UN
 1281. Rússula fóetens Pers. (1796)                              smrdljiva golobica                       S
 1282. Rússula fónt-quéri Singer (1936)                          žleboroba golobica                       U
 1283. Rússula frágilis Fr. (1838)                               krhka golobica                           S
 1284. Rússula frágrans Romagn. (1954)                           dišeča golobica                        NU
 1285. Rússula fuliginósa Sarnari (1993)                         čadasta golobica                       NU
 1286. Rússula fuscorubroídes Bon (1976)                         temnoškrlatasta golobica               NU
 1287. Rússula galóchroa (Fr.) Fr. (1874)                        mlečnobela golobica                      U
 1288. Rússula gráta Britzelm. (1898)                            mandljeva golobica               NU, 2297
 1289. Rússula gravéolens Romell (1885)                          hrastova golobica                        U
 1290. Rússula grísea Fr. (1838)                                 sivkasta golobica                        U
 1291. Rússula griseáscens (Bon & Gaugué) Marti (1984)           sivobetna golobica                       U
 1292. Rússula helódes Melzer (1929)                             barjanska golobica                     NU
 1293. Rússula heterophýlla (Fr.) Fr. (1838)                     rjavozelena golobica                     U
 1294. Rússula illóta Romagn. (1954)                             blatna golobica                        NU
 1295. Rússula insígnis Quél. (1888)                             mila golobica                            U
 1296. Rússula íntegra (L.) Fr. (1838)                           usnjasta golobica                        U
 1297. Rússula intermédia P. Karst. (1888)                       lundellova golobica              NU, 2302
 1298. Rússula ionochlóra Romagn. (1952)                         siva golobica                            U
 1299. Rússula láeta Jul. Schäff. (1952)                         spolzka golobica                         U
 1300. Rússula lángei Bon (1970)                                 langejeva golobica                       U
 1301. Rússula lepidícolor Romagn. (1962)                        čvrsta golobica                    U, 2860
 1302. Rússula lilácea Quél. (1877)                              zasluzena golobica                       U
 1303. Rússula luteotácta Rea (1922)                             rumeneča golobica                      NU
 1304. Rússula maculáta Quél. (1877)                             pegasta golobica                       NU
 1305. Rússula medulláta Romagn. (1997)                          sivozelena golobica                      U
 1306. Rússula mellíolens Quél. (1897)                           medova golobica                          U
 1307. Rússula mélzeri Zvára (1927)                              melzerjeva golobica                      U
 1308. Rússula minútula Velen. (1920)                            drobcena golobica                        U
 1309. Rússula mustelína Fr. (1838)                              lešnikova golobica                       U
 1310. Rússula nauseósa (Pers.) Fr. (1838)                       gorska golobica                          U
 1311. Rússula nígricans Fr. (1838)                              črneča golobica                        NU
 1312. Rússula nítida (Pers.) Fr. (1838)                         bleščava golobica                        U
 1313. Rússula nóbilis Velen. (1920)                             baržunasta golobica         NU, 2314, 2244
 1314. Rússula ochrácea Fr. (1838)                               okrastobela golobica               U, 2954
 1315. Rússula ochroléuca Fr. (1838)                             okrasta golobica                         U
 1316. Rússula odoráta Romagn. (1950)                            vonljiva golobica                  U, 2861
 1317. Rússula olivácea (Schaeff.) Fr. (1838)                    olivna golobica                         PU
 1318. Rússula oliváceovioláscens Gillet (1874)                  olivnolilasta golobica                 NU
 1319. Rússula pallidóspora J. Blum ex Romagn. (1967)            rumenolistna golobica                    U
 1320. Rússula paludósa Britzelm. (1891)                         jagodna golobica                         U



Mikološka zveza Slovenije                 OPERATIVNI SEZNAM GLIV SLOVENIJE 2013                         38
  1321. Rússula parazúrea Jul. Schäff. (1931)                       sivomodra golobica                      U
  1322. Rússula pectináta Fr. (1838)                                grebenasta golobica                    NU
  1323. Rússula pectinatoídes Peck (1907)                           rjavobetna golobica                    NU
  1324. Rússula pelargónia Niolle (1941)                            gorečnična golobica                    NU
  1325. Rússula persícina Krombh. (1845)                            breskvobarvna golobica                 NU
  1326. Rússula postiána Romell (1911)                              šarasta golobica                        U
  1327. Rússula pseudoíntegra Arnould & Goris (1907)                grenkobna golobica                     NU
  1328. Rússula pseudo-oliváscens Kärcher (2002)                    olivnozelena golobica             U, 2261
  1329. Rússula pseudoroméllii J. Blum (1955)                       škrlatnorožnata golobica                U
  1330. Rússula puelláris Fr. (1838)                                voščenolistna golobica                  U
  1331. Rússula quelétii Fr. (1872)                                 queletova golobica                     NU
  1332. Rússula raoúltii Quél. (1886)                               raoultova golobica                     NU
  1333. Rússula rhodópodus Zvára (1927)                             rdečebetna golobica               NU, RS
  1334. Rússula risigallína (Batsch) Sacc. (1915)                   marelična golobica                      U
  1335. Rússula roméllii Maire (1910)                               malinova golobica                      PU
  1336. Rússula roséipes Secr. ex Bres. (1881)                      rožnobetna golobica                     U
  1337. Rússula rúbra (Fr.) Fr. (1838)                              rdeča golobica                         NU
  1338. Rússula rubroálba (Singer) Romagn. (1967)                   belobetna golobica                      U
  1339. Rússula sanguinária (Schumach.) Rauschert (1989)            češnjeva golobica                      NU
  1340. Rússula sardónia Fr. (1838)                                 lomljiva golobica               NU, 2259
  1341. Rússula seperína Dupain (1913)                              istrska golobica                  NU, RS
  1342. Rússula sericátula Romagn. (1958)                           gabrinska golobica                      U
  1343. Rússula silvéstris (Singer) Reumaux (1996)                  mahova golobica                   S, 2264
  1344. Rússula soláris Ferd. & Winge (1924)                        sončna golobica                        NU
  1345. Rússula sorória Fr. (1838)                                  sestrska golobica                      NU
  1346. Rússula subfóetens W.G. Sm. (1873)                          smrdikasta golobica                    NU
  1347. Rússula torulósa Bres. (1929)                               tršata golobica            NU, 2278, 2350
  1348. Rússula túrci Bres. (1881)                                  višnjeva golobica                       U
  1349. Rússula velenóvskyi Melzer & Zvára (1927)                   opečnata golobica                       U
  1350. Rússula versícolor Jul. Schäff. (1931)                      pisana golobica                 NU, 2863
  1351. Rússula vésca Fr. (1836)                                    užitna golobica                         U
  1352. Rússula veternósa Fr. (1838)                                krhljiva golobica                      NU
  1353. Rússula vinósa Lindblad (1901)                              murkina golobica                        U
  1354. Rússula vinósobrúnnea (Bres.) Romagn. (1967)                vinskorjava golobica                    U
  1355. Rússula violácea Quél. (1882)                               vijoličasta golobica                    S
  1356. Rússula violéipes Quél. (1898)                              vijoličnobetna golobica                 U
  1357. Rússula viréscens (Schaeff.) Fr. (1836)                     zelenkasta golobica                     U
  1358. Rússula víscida Kudrna (1928)                               lepljiva golobica                      NU
  1359. Rússula xerampélina (Schaeff.) Fr. (1838)                   slanikova golobica                      U
  1360. Rússula zvárae Velen. (1922)                                zvarova golobica                 U, Z, RS

238.   RUTSTRÓEMIA                                              PLITVICE
  1361. Rutstróemia echinóphila (Bull.) Höhn. (1917)                ježična plitvica                      NU

239.   SÁRCODON                                                 JEžEVCI
  1362. Sárcodon gláucopus Maas Geest. & Nannf. (1969)              greneči ježevec                       NU
  1363. Sárcodon imbricátus (L.) P. Karst. (1881)                   rjavi ježevec                          U
  1364. Sárcodon léucopus (Pers.) Maas Geest. & Nannf. (1969)       gladki ježevec                        NU
  1365. Sárcodon scabrósus (Fr.) P. Karst. (1881)                   hrapavi ježevec                       NU

240.   SARCOMÝXA                                                ZGRUČEVKE
  1366. Sarcomýxa serotína (Pers.) P. Karst. (1891)                 pozna zgručevka                  U, 1900

241.   SARCÓSCYPHA                                              ČAŠICE
  1367. Sarcóscypha coccínea (Gray) Boud. (1885)                    škrlatna čašica                       PU

242.   SARCOSPHÁERA                                             ČAŠE
  1368. Sarcospháera coronária (Jacq.) J. Schröt. (1893)            venčasta čaša                         PU

243.   SCHIZOPHÝLLUM                                            CEPILISTKE
  1369. Schizophýllum commúne Fr. (1815)                            navadna cepilistka                    NU


Mikološka zveza Slovenije                  OPERATIVNI SEZNAM GLIV SLOVENIJE 2013                          39
244.   SCHIZÓPORA                                                  RAZPORKE
  1370. Schizópora flavípora (Berk. & M.A. Curtis ex Cooke) Ryvarden (1985) oranžna razporka             NU
  1371. Schizópora paradóxa (Schrad.) Donk (1967)                          nenavadna razporka            NU

245.   SCLERODÉRMA                                                 TRDOKOžNICE
  1372. Sclerodérma areolátum Ehrenb. (1818)                             mekinasta trdokožnica           NU
  1373. Sclerodérma bovísta Fr. (1829)                                   kroglasta trdokožnica           NU
  1374. Sclerodérma cépa Pers. (1801)                                    gladka trdokožnica              NU
  1375. Sclerodérma citrínum Pers. (1801)                                navadna trdokožnica             MU
  1376. Sclerodérma polyrhízum (J.F. Gmel.) Pers. (1801)                 zvezdasta trdokožnica           NU
  1377. Sclerodérma verrucósum (Bull.) Pers. (1801)                      bradavičasta trdokožnica        NU

246.   SCUTELLÍNIA                                                 ŠČETINKE
  1378. Scutellínia scutelláta (L.) Lambotte (1887)                      ščitasta ščetinka               NU

247.   SCÚTIGER                                                    ŠČITARJI
  1379. Scútiger pes-cáprae (Pers.) Bondartsev & Singer (1941)           kozjenogi ščitar              U, 78

248.   SEBACÍNA                                                    ŠTRLINKE
  1380. Sebacína epigéa (Berk. & Broome) Bourdot & Galzin (1928)         pozemska štrlinka               NU
  1381. Sebacína incrústans (Pers.) Tul. & C. Tul. (1871)                lojasta štrlinka                NU

249.   SISTOTRÉMA                                                  IGLIČNICE
  1382. Sistotréma cónfluens Pers. (1794)                                zraščena igličnica              NU

250.   SKELETOCÚTIS                                                KOSTENELKE
  1383. Skeletocútis amórpha (Fr.) Kotl. & Pouzar (1958)                 brezlična kostenelka            NU
  1384. Skeletocútis nívea (Jungh.) Jean Keller (1979)                   belkasta kostenelka             NU

251.   SOWERBYÉLLA                                                 PECLJATOVKE
  1385. Sowerbyélla imperiális (Peck) Korf (1971)                        oranžna pecljatovka             UN

252.   SPARÁSSIS                                                   GLIVCI
  1386. Sparássis críspa (Wulfen) Fr. (1821)                             borov glivec                      U
  1387. Sparássis laminósa Fr. (1836)                                    hrastov glivec              U, 2406
  1388. Sparássis nemécii Pilát & Veselý (1932)                          jelkin glivec                     U

253.   SPATHULÁRIA                                                 LOPATICE
  1389. Spathulária flávida Pers. (1794)                                 žolta lopatica                  NU

254.   SPONGIPÉLLIS                                                SPUžVOVCI
  1390. Spongipéllis spúmeus (Sowerby) Pat. (1900)                       penasti spužvovec               NU

255.   STECCHERÍNUM                                                BODIČKI
  1391. Steccherínum fimbriátum (Pers.) J. Erikss. (1958)                resasti bodiček                 NU
  1392. Steccherínum ochráceum (Pers.) Gray (1821)                       okrasti bodiček                 NU

256.   STÉREUM                                                     SLOJEVKE
  1393. Stéreum gausapátum (Fr.) Fr. (1874)                              kosmata slojevka                NU
  1394. Stéreum hirsútum (Willd.) Pers. (1800)                           dlakava slojevka                NU
  1395. Stéreum insignítum Quél. (1889)                                  kolobarčasta slojevka      NU, 2425
  1396. Stéreum ochráceoflávum (Schwein.) Sacc. (1888)                   vejina slojevka                 NU
  1397. Stéreum rugósum Pers. (1794)                                     grbančasta slojevka        NU, 1048
  1398. Stéreum sanguinoléntum (Alb. & Schwein.) Fr. (1838)              krvaveča slojevka          NU, 1049
  1399. Stéreum subtomentósum Pouzar (1964)                              žametasta slojevka              NU

257.   STROBILÓMYCES                                               KUŠTRAVCI
  1400. Strobilómyces strobiláceus (Scop.) Berk. (1851)                  črni kuštravec                   U


Mikološka zveza Slovenije                   OPERATIVNI SEZNAM GLIV SLOVENIJE 2013                        40
258.   STROBILÚRUS                                                    STORžEVKE
  1401. Strobilúrus esculéntus (Wulfen) Singer (1962)                     smrekova storževka                           U

259.   STROPHÁRIA                                                     STRNIŠČNICE
  1402. Strophária aeruginósa (Curtis) Quél. (1872)                       zelenkasta strniščnica                       U
  1403. Strophária caerúlea Kreisel (1979)                                modrikasta strniščnica                       U
  1404. Strophária coronílla (Bull.) Quél. (1872)                         ovenčana strniščnica                         S
  1405. Strophária exímia Benedix (1961)                                  orjaška strniščnica                          U
  1406. Strophária hornemánnii (Fr.) S. Lundell & Nannf. (1934)           skandinavska strniščnica                     S
  1407. Strophária rugósoannuláta Farl. ex Murrill (1922)                 kukmakova strniščnica                        U
  1408. Strophária semiglobáta (Batsch) Quél. (1872)                      polobla strniščnica                         NU
  1409. Strophária squamósa (Pers.) Quél. (1873)                          luskata strniščnica                         NU

260.   SUÍLLUS                                                        LUPLJIVKE
  1410. Suíllus bovínus (Pers.) Roussel (1806)                            prožna lupljivka                              U
  1411. Suíllus bresádolae (Quél.) Gerhold (1985)                         bresadolova lupljivka                         U
  1412. Suíllus cávipes (Opat.) A.H. Sm. & Thiers (1964)                  votlobetna lupljivka                     U, 195
  1413. Suíllus collinítus (Fr.) Kuntze (1898)                            brezobročna lupljivka                         U
  1414. Suíllus flávidus (Fr.) J. Presl (1846)                            rumena lupljivka                         U, RS
  1415. Suíllus granulátus (L.) Roussel (1806)                            ovčarska lupljivka                            U
  1416. Suíllus granulátus f. marchándii G. Moreno & Heykoop (1994)       ovčarska lupljivka, primorska oblika          U
  1417. Suíllus grevíllei (Klotzsch) Singer (1945)                        macesnova lupljivka                           U
  1418. Suíllus lúteus (L.) Roussel (1806)                                maslena lupljivka                             U
  1419. Suíllus plácidus (Bonord.) Singer (1945)                          bela lupljivka                                U
  1420. Suíllus tridentínus (Bres.) Singer (1945)                         tridentinska lupljivka                   U, RS
  1421. Suíllus variegátus (Sw.) Kuntze (1898)                            peščena lupljivka                             U
  1422. Suíllus víscidus (L.) Roussel (1806)                              siva lupljivka                                U

261.   TAPÍNELLA                                                      PODVIHANCI
  1423. Tapínella átrotomentósa (Batsch) Šutara (1992)                    žametni podvihanec                      U, 1903
  1424. Tapínella panuoídes (Batsch) E.-J. Gilbert (1931)                 školjkasti podvihanec                  NU, 1905

262.   TEPHRÓCYBE                                                     SIVOLISTKE
  1425. Tephrócybe anthracóphila (Lasch) P.D. Orton (1969)                pogoriščna sivolistka                       NU
  1426. Tephrócybe ráncida (Fr.) Donk (1962)                              žarka sivolistka                            NU

263.   THELÉPHORA                                                     ROžE
  1427. Theléphora anthocéphala (Bull.) Fr. (1838)                        cvetoča roža                                NU
  1428. Theléphora caryophýllea (Schaeff.) Pers. (1801)                   nageljnasta roža                            NU
  1429. Theléphora palmáta (Scop.) Fr. (1821)                             grmičasta roža                              NU
  1430. Theléphora penicilláta (Pers.) Fr. (1821)                         čopičasta roža                              NU
  1431. Theléphora terréstris Ehrh. (1787)                                pozemska roža                               NU

264.   TRAMÉTES                                                       PLOSKOCEVKE
  1432. Tramétes cervína (Schwein.) Bres. (1903)                          rjaveča ploskocevka                         NU
  1433. Tramétes gibbósa (Pers.) Fr. (1838)                               grbasta ploskocevka                         NU
  1434. Tramétes hirsúta (Wulfen) Pilát (1939)                            kosmata ploskocevka                    NU, 2497
  1435. Tramétes ochrácea (Pers.) Gilb. & Ryvarden (1987)                 kolobarčasta ploskocevka               NU, 3032
  1436. Tramétes pubéscens (Schumach.) Pilát (1939)                       puhasta ploskocevka                         NU
  1437. Tramétes suavéolens (L.) Fr. (1838)                               vrbova ploskocevka                          NU
  1438. Tramétes trógii Berk. (1850)                                      navadna ploskocevka                     NU, 971
  1439. Tramétes versícolor (L.) Lloyd (1921)                             pisana ploskocevka                          NU

265.   TREMÉLLA                                                       DRHTAVKE
  1440. Tremélla foliácea Pers. (1800)                                    listasta drhtavka                           NU
  1441. Tremélla mesentérica Retz. (1769)                                 rumena drhtavka                              U

266.   TRICHÁPTUM                                                     APNENKE
  1442. Tricháptum abietínum (Dicks.) Ryvarden (1972)                     jelkova apnenka                             NU
  1443. Tricháptum bifórme (Fr.) Ryvarden (1972)                          papirasta apnenka                           NU


Mikološka zveza Slovenije                   OPERATIVNI SEZNAM GLIV SLOVENIJE 2013                                     41
267.   TRICHOGLÓSSUM                                                JEZIKOVCI
  1444. Trichoglóssum hirsútum (Pers.) Boud. (1907)                       kosmati jezikovec                              NU

268.   TRICHOLÓMA                                                   KOLOBARNICE
  1445. Tricholóma acérbum (Bull.) Vent. (1872)                           trpka kolobarnica                               NU
  1446. Tricholóma áestuans (Fr.) Gillet (1874)                           gorjupa kolobarnica                             NU
  1447. Tricholóma álbidum Bon (1984)                                     svilasta kolobarnica                             U
  1448. Tricholóma álbum (Schaeff.) P. Kumm. (1871)                       bela kolobarnica                                NU
  1449. Tricholóma ápium Jul. Schäff. (1925)                              začimbena kolobarnica                        U, RS
  1450. Tricholóma átrosquamósum Sacc. (1887)                             črnoluska kolobarnica                            U
  1451. Tricholóma aurántium (Schaeff.) Ricken (1914)                     oranžna kolobarnica                             NU
  1452. Tricholóma basírubens (Bon) A. Riva & Bon (1988)                  žarobetna kolobarnica                            U
  1453. Tricholóma bresadolánum Clémençon (1977)                          bresadolova kolobarnica                         NU
  1454. Tricholóma bufónium (Pers.) Gillet (1874)                         krastačja kolobarnica                            S
  1455. Tricholóma caligátum (Viv.) Ricken (1914)                         krokodilja kolobarnica                    U, Z, RS
  1456. Tricholóma cingulátum (Almfelt) Jacobashch (1890)                 obročkana kolobarnica                            U
  1457. Tricholóma colóssus (Fr.) Quél. (1872)                            orjaška kolobarnica                              U
  1458. Tricholóma columbétta (Fr.) P. Kumm. (1871)                       golobičja kolobarnica                            U
  1459. Tricholóma equéstre (L.) P. Kumm. (1871)                          zelenkasta kolobarnica                           S
  1460. Tricholóma focále (Fr.) Ricken (1914)                             ovratniška kolobarnica                           U
  1461. Tricholóma frácticum (Britzelm.) Kreisel (1984)                   polzastrta kolobarnica                          NU
  1462. Tricholóma fucátum (Fr.) P. Kumm. (1871)                          naličena kolobarnica                            UN
  1463. Tricholóma fúlvum (Fr.) Bigeard & H. Guill. (1909)                rumenolistna kolobarnica                         U
  1464. Tricholóma gausapátum (Fr.) Quél. (1872)                          kosmata kolobarnica                              U
  1465. Tricholóma hórdum (Fr.) Quél. (1872)                              vijoličnorjava kolobarnica                       U
  1466. Tricholóma imbricátum (Fr.) P. Kumm. (1871)                       mekinasta kolobarnica                           PU
  1467. Tricholóma inamóenum (Fr.) Gillet (1874)                          neprijetna kolobarnica                           S
  1468. Tricholóma inodérmeum (Fr.) Gillet (1878)                         tigrasta kolobarnica                            NU
  1469. Tricholóma joachímii Bon & A. Riva (1985)                         zajetna kolobarnica                             UN
  1470. Tricholóma josserándii Bon (1975)                                 stenična kolobarnica                             S
  1471. Tricholóma lascívum (Fr.) Gillet (1874)                           zoprna kolobarnica                              NU
  1472. Tricholóma lúridum (Schaeff.) P. Kumm. (1871)                     širokolistna kolobarnica                        NU
  1473. Tricholóma orírubens Quél. (1872)                                 žarolistna kolobarnica                           U
  1474. Tricholóma pardínum Quél. (1873)                                  pegasta kolobarnica                              S
  1475. Tricholóma pessúndatum (Fr.) Quél. (1872)                         lepljiva kolobarnica                             S
  1476. Tricholóma populínum J.E. Lange (1933)                            topolova kolobarnica                             U
  1477. Tricholóma portentósum (Fr.) Quél. (1873)                         zimska kolobarnica                               U
  1478. Tricholóma psámmopus (Kalchbr.) Quél. (1875)                      macesnova kolobarnica                           NU
  1479. Tricholóma pseudoníctitans Bon (1983)                             varljiva kolobarnica                            NU
  1480. Tricholóma saponáceum (Fr.) P. Kumm. (1871)                       milnata kolobarnica                             PU
  1481. Tricholóma saponáceum var. lavedánum Rolland (1891)               milnata kolobarnica, karminasti različek PU, 2533
  1482. Tricholóma saponáceum var. squamósum (Cooke) Rea (1922)           milnata kolobarnica, luskobetni različek        PU
  1483. Tricholóma scalpturátum (Fr.) Quél. (1872)                        rumeneča kolobarnica                             U
