158.;293917;260;Calocybe gambosa;Calócybe gambósa;majniška lepoglavka;U;majniška kolobarnica, prusnica, jurjevka, majska kolobarnica, florjanka, jurščica, majnica, majnikova, peharček, ranka, ris, risanka, risnica
159.;356862;263;Calvatia cyathiformis;Calvátia cyathifórmis;skledasta plešivka;MU;
160.;265958;1487;Calvatia gigantea;Calvátia gigántea;orjaška plešivka;MU, Z, RS;orjaški plešivec, babji popek, krvnica, prhič, velika puhavka
161.;281056;269;Cantharellula umbonata;Cantharéllula umbonáta;lijasta lisičkarica;U;
162.;154816;273;Cantharellus amethysteus;Cantharéllus amethýsteus;luskata lisička;U;navadna lisička, luskati različek
163.;200345;271;Cantharellus cibarius;Cantharéllus cibárius;navadna lisička;U;galeta, jajčna goba, jajčnica, lisica, lisičica, lisička, rjavka, užitna lisička, žoltica
164.;197287;275;Cantharellus cinereus;Cantharéllus cinéreus;siva lisička;U; 
165.;204760;276;Cantharellus friesii;Cantharéllus fríesii;žametna lisička;U;
166.;327483;277;Cantharellus ianthinoxanthus;Cantharéllus ianthinoxánthus;gubasta lisička;U;
167.;179532;279;Cantharellus melanoxeros;Cantharéllus melanoxéros;črneča lisička;U;
168.;284817;283;Catathelasma imperiale;Catathélasma imperiále;kolobarna dvovenčnica;U, Z, RS;
169.;310824;289;Ceriporia purpurea;Ceripória purpúrea;škrlatni jamičar;NU;
170.;356790;293;Cerrena unicolor;Cerréna unícolor;pepelasti zvitoluknjičar;NU;
171.;311021;296;Chalciporus piperatus;Chalcíporus piperátus;pekoči bakrenopor;NU;paprenjača, poprasta lupljivka
172.;328149;299;Chamaemyces fracidus;Chamáemyces frácidus;orošeni nogavičar;NU;
173.;285167;301;Chlorociboria aeruginascens;Chlorocibória aerugináscens;zelenkasti zelenivec;NU; 
174.;417519;1667;Chlorophyllum rhacodes;Chlorophýllum rachódes;rdečeča zelenolistka;U;rdečeči dežnik, kuštravka, kuštravi dežnik, luskavi dežnik
175.;479456;304;Rhizopogon albus;Choirómyces venósus;zgodnja prstenica;PU;bela gomoljevka, bela gomoljika, bleda gomoljevka, bleda gomoljika, meandrovka, poletna gomoljika, pomladna gomoljika, prstenica
176.;294820;305;Chondrostereum purpureum;Chondrostéreum purpúreum;škrlatni skladovec;NU;
177.;328187;306;Chroogomphus helveticus;Chroogómphus helvéticus;švicarski polžar;U;polžar, polžarka, švicarska polžarka, švicarska polževka
178.;328192;307, 308;Chroogomphus rutilus;Chroogómphus rútilus;bakrenasti polžar;U;bakrenordeči polžar, borov polžar, borova polžarka, borova polževka, lepljiva slinavka, lepljivi polžar, rdeča slinavka, rdečkar, rdečkarica
179.;109679;1006;Chrysomphalina chrysophylla;Chrysomphálina chrysophýlla;jelova zlatolistka;NU;
180.;112728;312;Clathrus archeri;Cláthrus árcheri;lovkasta mrežnica;NU;
181.;232782;313;Clathrus ruber;Cláthrus rúber;navadna mrežnica;NU, Z, RS;mrežnica, vitezovka, rešetnica, jadranka, gospa goba
182.;227501;314;Clavaria pampaeana;Clavária acúta;zašiljena kijevka;NU;
183.;473459;319;Clavaria fragilis;Clavária frágilis;krhka kijevka;NU;črvičasta kijevka
184.;191686;316;Clavaria fumosa;Clavária fumósa;dimasta kijevka;NU;
185.;451037;321;Clavariadelphus ligula;Clavariadélphus lígula;jezikasti kijec;NU;
186.;274636;322;Clavariadelphus pistillaris;Clavariadélphus pistilláris;veliki kijec;MU;bet, betič, kolec, količ, prsti, prstnik, stopič, teptač 
187.;280782;323;Clavariadelphus truncatus;Clavariadélphus truncátus;odsekani kijec;MU;
188.;256654;325;Clavulina amethystina;Clavulína amethýstina;modrikasta grivača;U;
189.;419198;326;Clavulina cinerea;Clavulína cinérea;siva grivača;U;siva griva
190.;114573;327;Clavulina coralloides;Clavulína coralloídes;grebenasta grivača;U;bela griva, bele tačke, grebenasta griva, krempeljci, lepa griva, lepa grivarica, prstičevka, prstiči, prstički, prstnica
191.;356704;328;Clavulina rugosa;Clavulína rugósa;brazdasta grivača;U;
192.;295049;329;Clavulinopsis corniculata;Clavulinópsis corniculáta;rogovilasta grivuša;NU;
193.;295099;332;Climacocystis borealis;Climacocýstis boreális;severnjaška poroznica;NU;
194.;256364;335;Clitopaxillus alexandri;Clitócybe alexándri;zelenikasta livka;U, RS;
195.;171924;336;Clitocybe angustissima;Clitócybe angustíssima;vlažnoroba livka;S;
196.;160592;346;Clitocybe augeana;Clitócybe augeána;vrtnarska livka;SS;
197.;163881;337;Clitocybe brumalis;Clitócybe brumális;zimska livka;S;
198.;163857;338;Clitocybe cacabus;Clitócybe cácabus;kakavnorjava livka;NU;
199.;177054;339;Leucocybe candicans;Clitócybe cándicans;opredena livka;SS;
200.;176787;334;Clitocybe candida;Clitócybe cándida;bela livka;U;
201.;176644;340;Clitocybe catinus;Clitócybe catínus;skledasta livka;U;
202.;295121;343;Infundibulicybe costata;Clitócybe costáta;rebrava livka;U;
203.;216184;345;Clitocybe dealbata;Clitócybe dealbáta;pobeljena livka;SS;
204.;357301;349;Clitocybe ditopa;Clitócybe dítopa;iglična livka;NU;
205.;232936;354;Clitocybe fragrans;Clitócybe frágrans;vonjava livka;S;
206.;356792;357;Infundibulicybe gibba;Clitócybe gíbba;rjavkasta livka;U;
207.;311339;2702;Clitocybe amarescens;Clitócybe harmájae;sadna livka;S;
208.;357216;369;Singerocybe phaeophthalma;Clitócybe hydrográmma;vodenasta livka;S;
209.;146813;358;Clitocybe incilis;Clitócybe incílis;narezljana livka;U;
210.;249931;359;Atractosporocybe inornata;Clitócybe inornáta;neokrašena livka;U;
211.;176673;362;Clitocybe maxima;Clitócybe máxima;velika livka;U;orjaška livka
212.;176880;363;Clitocybe metachroa;Clitócybe metáchroa;siveča livka;NU;
213.;164796;364;Clitocybe nebularis;Clitócybe nebuláris;poprhnjena livka;PU;poprhnjena kolesnica, meglenka, meglena kolobarnica, meglenica, poprhnjena kolobarnica, rjavovka, žametka, žametnica
214.;179502;366;Clitocybe obsoleta;Clitócybe obsoléta;dišeča livka;S;
215.;190577;367;Clitocybe odora;Clitócybe odóra;janeževa livka;U;janeževka, dišeča livka
216.;155559;370;Clitocybe phyllophila;Clitócybe phyllóphila;beleževa livka;SS;
217.;170107;377;Clitocybe squamulosa;Clitócybe squamulósa;luskata livka;U;
218.;414564;380;Clitocybe umbilicata;Clitócybe umbilicáta;popkasta livka;NU;
219.;176252;383;Clitocybe vibecina;Clitócybe vibecína;skrotovičena livka;U;
220.;295194;384;Clitocybula lacerata;Clitocýbula laceráta;razpokani livček;NU;
221.;237006;385;Clitopilus prunulus;Clitopílus prúnulus;navadna mokarica;U;slivarica, kvasovka, mlinarica, mokarica, pokazateljica jurčkov, slivasta lisička, slivasta močnica, slivasta mokarica, slivna lisička, slivna platnica, užitna mokarica, gobji cvet
222.;114499;389;Collybia amanitae;Collýbia cirrháta;rumeneča korenovka;U;rumenobetna korenovka
223.;416229;394;Collybia cookei;Collýbia cóokei;cookova korenovka;NU;
224.;242880;415;Collybia tuberosa;Collýbia tuberósa;gomoljava korenovka;NU;
225.;119718;417;Coltricia cinnamomea;Coltrícia cinnamómea;cimetasti trdikovec;NU;
226.;356793;418;Coltricia perennis;Coltrícia perénnis;večni trdikovec;NU;
227.;560151;387;Gymnopus acervatus;Cónnopus acervátus;kopučasti koničar;U;kopučasta korenovka, kopučasti korenovec
228.;254182;428;Conocybe pubescens;Conócybe pubéscens;puhasta stožka;NU;
229.;111308;429;Conocybe subovalis;Conócybe subovális;oblasta stožka;NU;
230.;255051;430;Conocybe tenera;Conócybe ténera;ožlebičena stožka;NU;
231.;107842;439;Coprinellus disseminatus;Coprinéllus disseminátus;razsejani tintovec;NU;razsejana tintnica, tintna kopučkarica
232.;474357;440;Coprinellus domesticus;Coprinéllus domésticus;domači tintovec;NU;domača tintnica
233.;474367;441;Tulosesus ephemerus;Coprinéllus ephémerus;minljivi tintovec;NU;minljiva tintnica
234.;474361;447;Coprinellus micaceus;Coprinéllus micáceus;sljudnati tintovec;PU;sljudnata tintnica, sljudnica, sludnovka
235.;474646;459;Coprinellus truncorum;Coprinéllus truncórum;štorovi tintovec;NU;štorova tintnica
236.;474167;433;Coprinopsis atramentaria;Coprinópsis atramentária;prava tintovka;PU;prava tintnica, črnodlak, nagubana tintnica, pasja tintka, pasja tintnica, pesjanka, prava črnivka, srebrna tintnica, srebrnasta tintnica
237.;474379;435;Coprinopsis cinerea;Coprinópsis cinérea;gnojiščna tintovka;NU;gnojiščna tintnica, bela črnivka, čopasta tintnica, čopasti tintar, gnojnik, tintarica, tintnica
238.;522079;446;Coprinopsis lagopus var. lagopus;Coprinópsis lagópus;plišasta tintovka;NU;plišasta tintnica
